source_client_name,source_setup,jira_client_name,jira_deploiement_field,match_type
BPCE-IT,Onsite,BPCE-IT,Onsite,fallback_source_name
SOGITEC,Onsite,SOGITEC,Onsite,exact
TechnipFMC,Onsite,TechnipFMC,Onsite,exact
Hutchinson Lisses (ADI),Onsite,Hutchinson Lisses (ADI),Onsite,fallback_source_name
Thales Netherlands Blue (ex New 2020),Onsite,Thales Netherlands Blue (ex New 2020),Onsite,fallback_source_name
Thales Netherlands CEG,Onsite,Thales Netherlands CEG,Onsite,exact
Thales Australia,Onsite,Thales Australia,Onsite,exact
Thales UK,Onsite,Thales UK.,Onsite,exact
Airbus Defense & Space - NEO GE,Onsite,Airbus Defense & Space - NEO GE,Onsite,fallback_source_name
Dalenys Payment,Onsite,Dalenys Payment,Onsite,fallback_source_name
Thales Netherlands - CEUK,Onsite,Thales Netherlands - CEUK,Onsite,fallback_source_name
Ministerie van Defensie,Onsite,Ministerie van Defensie,Onsite,exact
HP Printing,Onsite,HP Printing,Onsite,fallback_source_name
Thales DMS MMCM,Onsite,Thales DMS MMCM,Onsite,fallback_source_name
Moog Corp Onsite Prod,Onsite,Moog Corp Onsite Prod,Onsite,fallback_source_name
Groupe SII,Onsite,GROUPE SII,Onsite,exact
RIVM,Onsite,RIVM,Onsite,exact
MBDA Corporate,Onsite,MBDA Corporate,Onsite,fallback_source_name
Continental FR - onprem,Onsite,Continental FR - onprem,Onsite,fallback_source_name
Dutch Tax Office - Belastingdienst,Onsite,Dutch Tax Office - Belastingdienst,Onsite,exact
Siemens Healthineers,Onsite,Siemens Healthineers,Onsite,fallback_source_name
Thales Netherlands Tacticos,Onsite,Thales Netherlands Tacticos,Onsite,exact
Continental - ADC - on-site - Production,Onsite,Continental - ADC - on-site - Production,Onsite,fallback_source_name
CA Pacifica Dommages,Onsite,CA Pacifica Dommages,Onsite,fallback_source_name
ANTAI - Enterprise OnSite,Onsite,ANTAI - Enterprise OnSite,Onsite,fallback_source_name
National Dutch Police,Onsite,NATIONAL DUTCH POLICE,Onsite,exact
DICTU (EZK),Onsite,Dictu (EZK),Onsite,exact
DB Netz AG,Onsite,DB NETZ AG,Onsite,exact
FAMAT,Onsite,FAMAT,Onsite,exact
Airbus Defense & Space - NEO UK,Onsite,Airbus Defense & Space - NEO UK,Onsite,fallback_source_name
Airbus Defense & Space - NEO FR,Onsite,Airbus Defense & Space - NEO FR,Onsite,fallback_source_name
Airbus Defense & Space - Partner,Onsite,Airbus Defense & Space - Partner,Onsite,fallback_source_name
Safran Aircraft Engines France,Onsite,Safran Aircraft Engines France,Onsite,exact
Alten,Onsite,Alten,Onsite,exact
NHI,Onsite,NHI,Onsite,fallback_source_name
CEA,Onsite,CEA,Onsite,exact
MBDA System UK,Onsite,MBDA System UK,Onsite,fallback_source_name
IDEMIA,Onsite,IDEMIA,Onsite,exact
Naval Group - DCNS - serveur B,Onsite,Naval Group - DCNS - serveur B,Onsite,fallback_source_name
Naval Group - DCNS - Serveur C,Onsite,Naval Group - DCNS - Serveur C,Onsite,fallback_source_name
Thales SGF - NEST - Dev,Onsite,Thales SGF - NEST - Dev,Onsite,fallback_source_name
Hutchinson Inc,Onsite,Hutchinson Inc,Onsite,fallback_source_name
Thales TCJ TEST,Onsite,Thales TCJ TEST,Onsite,fallback_source_name
Thales Castle,Onsite,Thales Castle,Onsite,exact
DTNUM,Onsite,DTNUM,Onsite,exact
ThyssenKrupp Marine Systems,Onsite,ThyssenKrupp Marine Systems,Onsite,fallback_source_name
Dassault Aviation DEVOPS,Onsite,Dassault Aviation DEVOPS,Onsite,fallback_source_name
MDBA Corporate Private cloud,Onsite,MDBA Corporate Private cloud,Onsite,fallback_source_name
FIVES Machining (HPM/Grinding - Ultra precision),Onsite,FIVES Machining (HPM/Grinding - Ultra precision),Onsite,fallback_source_name
Thales test restauration Castle,Onsite,Thales test restauration Castle,Onsite,fallback_source_name
Hitachi Rail GTS France,Onsite,Hitachi Rail GTS France,Onsite,fallback_source_name
Thales DIS licence temporaire de dev,Onsite,Thales DIS licence temporaire de dev,Onsite,fallback_source_name
MBDA - France Only,Onsite,MBDA - France Only,Onsite,fallback_source_name
Dassault Aviation POC USINE 4.0,Onsite,Dassault Aviation POC USINE 4.0,Onsite,fallback_source_name
Eutelsat Onsite,Onsite,Eutelsat Onsite,Onsite,fallback_source_name
BLEU,Onsite,BLEU,Onsite,fallback_source_name
Pratt and Whitney,Onsite,Pratt and Whitney,Onsite,exact
GE AEROSPACE,Onsite,GE AEROSPACE,Onsite,fallback_source_name
Safran Seats,Online Dedicated,Safran Seats,Online,fallback_source_name
HOFOR,Online Dedicated,HOFOR,Online,exact
Orano - ex New Areva,Online Dedicated,Orano - ex New Areva,Online,exact
EDF DSIT,Online Dedicated,EDF DSIT,Online,exact
Dyno Nobel,Online Dedicated,Dyno Nobel,Online,exact
Air Liquide,Online Dedicated,Air Liquide,Online,exact
Pierre Fabre,Online Dedicated,Pierre Fabre,Online,exact
Radiometer,Online Dedicated,Radiometer,Online,exact
CSP RH,Online Dedicated,CSP RH,Online,fallback_source_name
Safran Nacelles,Online Dedicated,Safran Nacelles,Online,fallback_source_name
Axens,Online Dedicated,Axens,Online,exact
Schneider Electric - R&D,Online Dedicated,Schneider Electric - R&D,Online,fallback_source_name
Mews Partners,Online Dedicated,Mews Partners,Online,fallback_source_name
Total Energies - TGITS,Online Dedicated,Total Energies - TGITS,Online,fallback_source_name
Framatome (ex Areva NP - Digital transformation),Online Dedicated,Framatome (ex Areva NP - Digital transformation),Online,exact
Sanofi Group,Online Dedicated,SANOFI GROUP,Online,exact
Kimberly Clark,Online Dedicated,Kimberly-Clark,Online,exact
Eli Lilly,Online Dedicated,Eli Lilly,Online,exact
CSP comptabilité,Online Dedicated,CSP comptabilité,Online,fallback_source_name
bioMérieux,Online Dedicated,bioMérieux,Online,exact
Staubli,Online Dedicated,Staubli,Online,exact
Allianz Trade (ex Euler Hermes),Online Dedicated,Allianz Trade ( ex Euler Hermes),Online,exact
ERAMET,Online Dedicated,ERAMET,Online,exact
Kuehne Nagel QCD,Online Dedicated,Kuehne Nagel QCD,Online,exact
Terega,Online Dedicated,Terega,Online,exact
Jaeger Lecoultre,Online Dedicated,Jaeger Lecoultre,Online,fallback_source_name
Medline Add-on,Online Dedicated,Medline Add-on,Online,exact
Richemont Manufacture Val Fleurier,Online Dedicated,Richemont Manufacture Val Fleurier,Online,fallback_source_name
Safran Corp,Online Dedicated,Safran Corp,Online,exact
Bollore Logistics -OnLine dédié,Online Dedicated,Bollore Logistics -OnLine dédié,Online,fallback_source_name
Corse Composites Aeronautiques,Online Dedicated,Corse Composites Aeronautiques,Online,fallback_source_name
Lilly MQ,Online Dedicated,Lilly MQ,Online,fallback_source_name
Hilti,Online Dedicated,Hilti,Online,exact
Beckman Coulter Life Sciences,Online Dedicated,Beckman Coulter Life Sciences,Online,exact
Air France Industries,Online Dedicated,Air France Industries,Online,exact
Adi – Askea Design Ingenierie,Online Dedicated,Adi – Askea Design Ingenierie,Online,exact
Capgemini Invent - plateforme online dédiée,Online Dedicated,Capgemini Invent - plateforme online dédiée,Online,fallback_source_name
Aledia,Online Dedicated,Aledia,Online,fallback_source_name
State of Michigan,Online Dedicated,State of Michigan,Online,fallback_source_name
Atlantic LNG,Online Dedicated,Atlantic LNG,Online,exact
Power Grids (Hitachi),Online Dedicated,Power Grids (Hitachi),Online,fallback_source_name
Schneider Electric-  Dedicated online platform,Online Dedicated,Schneider Electric-  Dedicated online platform,Online,fallback_source_name
RLG International,Online Dedicated,RLG International,Online,fallback_source_name
Mars,Online Dedicated,Mars,Online,exact
Knab,Online Dedicated,Knab,Online,exact
GE Vernova,Online Dedicated,GE Vernova,Online,exact
Kaiser Permanente Main,Online Dedicated,Kaiser Permanente Main,Online,fallback_source_name
Serac Enterprise Online,Online Dedicated,Serac Enterprise Online,Online,exact
Lilly IBU,Online Dedicated,Lilly IBU,Online,exact
PGB Pensioendiensten,Online Dedicated,PGB Pensioendiensten,Online,exact
Genmab NL,Online Dedicated,Genmab NL,Online,exact
Capgemini ABL,Online Dedicated,CAPGEMINI ABL,Online,exact
Mirion,Online Dedicated,Mirion,Online,exact
GCI Communication Corp.,Online Dedicated,GCI Communication Corp.,Online,exact
Daher Online,Online Dedicated,Daher Online,Online,fallback_source_name
WorkSafeBC,Online Dedicated,WorkSafeBC,Online,exact
Sekisui Aerospace,Online Dedicated,Sekisui Aerospace,Online,exact
Orange - Enterprise,Online Dedicated,Orange - Enterprise,Online,exact
OSE Group Enterprise,Online Dedicated,OSE Group Enterprise,Online,fallback_source_name
Wilo Enterprise QCD,Online Dedicated,Wilo Enterprise QCD,Online,fallback_source_name
ACC - Team,Online Dedicated,ACC - Team,Online,fallback_source_name
Pella SaaS,Online Dedicated,Pella SaaS,Online,fallback_source_name
Covea - Enterprise dédié,Online Dedicated,Covea - Enterprise dédié,Online,fallback_source_name
Beckman Coulter Diagnostics,Online Dedicated,Beckman Coulter Diagnostics,Online,fallback_source_name
XL Groupe Enterprise,Online Dedicated,XL Groupe Enterprise,Online,fallback_source_name
Spectrum Groupe,Online Dedicated,Spectrum Groupe,Online,fallback_source_name
Cartier Joaillerie International,Online Dedicated,Cartier Joaillerie International,Online,exact
European Space Agency (ESA),Online Dedicated,European Space Agency (ESA),Online,exact
CEVA,Online Dedicated,CEVA,Online,exact
Philip Morris International - UK,Online Dedicated,Philip Morris International - UK,Online,exact
Demathieu Bard Enterprise,Online Dedicated,Demathieu Bard Enterprise,Online,fallback_source_name
ID Logistics,Online Dedicated,ID LOGISTICS,Online,exact
Merck Serono,Online Dedicated,Merck Serono,Online,exact
Nutrien,Online Dedicated,NUTRIEN,Online,exact
Rehlko (ex Kohler Co.),Online Dedicated,Rehlko (ex Kohler Co.),Online,exact
Movella Technologies (ex Xsens),Online Dedicated,Movella Technologies (ex Xsens),Online,fallback_source_name
EUROAPI,Online Dedicated,EUROAPI,Online,exact
Baxter pharma singapore,Online Dedicated,Baxter Pharma Singapore,Online,exact
Capgemini DEV,Online Dedicated,Capgemini DEV,Online,fallback_source_name
Milwaukee Tool,Online Dedicated,Milwaukee Tool,Online,exact
Pernod Ricard Online,Online Dedicated,Pernod Ricard Online,Online,fallback_source_name
HOME,Online Dedicated,HOME,Online,fallback_source_name
Suivi Clients,Online Dedicated,Suivi Clients,Online,fallback_source_name
La Banque Postale - Enterprise,Online Dedicated,La Banque Postale - Enterprise,Online,fallback_source_name
Merck Irvine,Online Dedicated,Merck Irvine,Online,exact
MIN JUSTICE,Online Dedicated,MIN JUSTICE,Online,exact
Crispr Therapeutics,Online Dedicated,Crispr Therapeutics,Online,exact
Modus Cooperandi,Online Dedicated,Modus Cooperandi,Online,fallback_source_name
CureVac,Online Dedicated,CureVac,Online,exact
Scaled Agile - Dedicated Platform,Online Dedicated,Scaled Agile - Dedicated Platform,Online,fallback_source_name
Hitachi Energy,Online Dedicated,Hitachi Energy,Online,fallback_source_name
OVH,Online Dedicated,OVH,Online,fallback_source_name
Fake Customer,Online Dedicated,Fake Customer,Online,fallback_source_name
Accenture Business Agility,Online Dedicated,Accenture Business Agility,Online,exact
Proximus,Online Dedicated,Proximus,Online,fallback_source_name
Satys,Online Dedicated,Satys,Online,exact
ID Logistics USA,Online Dedicated,ID Logistics - USA,Online,exact
UST,Online Dedicated,UST,Online,exact
EACOP,Online Dedicated,EACOP,Online,exact
Western Digital Online Whiteboarding Trial,Online Dedicated,Western Digital Online Whiteboarding Trial,Online,fallback_source_name
Aubert & Duval,Online Dedicated,Aubert & Duval,Online,exact
Vaillant Group,Online Dedicated,Vaillant Group,Online,exact
Alkegen,Online Dedicated,Alkegen,Online,exact
D'Ieteren Auto,Online Dedicated,D'Ieteren Auto,Online,fallback_source_name
Eraneos Switzerland,Online Dedicated,Eraneos Switzerland,Online,fallback_source_name
POP CUBIK,Online Dedicated,POP CUBIK,Online,fallback_source_name
Obeya Association Dedicated Platform,Online Dedicated,Obeya Association Dedicated Platform,Online,fallback_source_name
cPrime,Online Dedicated,cPrime,Online,fallback_source_name
Alpine Racing,Online Dedicated,Alpine Racing,Online,fallback_source_name
Vinci Energies,Online Dedicated,Vinci Energies,Online,exact
AdaptivityGroup,Online Dedicated,AdaptivityGroup,Online,fallback_source_name
AGC Glass Europe SA,Online Dedicated,AGC Glass Europe SA,Online,exact
EliassenGroup,Online Dedicated,EliassenGroup,Online,fallback_source_name
Agilest,Online Dedicated,Agilest,Online,fallback_source_name
Agence du numérique de la sécurité civile,Online Dedicated,Agence du numérique de la sécurité civile,Online,exact
Temenos,Online Dedicated,Temenos,Online,fallback_source_name
Flight Levels Dedicated Online Platform,Online Dedicated,Flight Levels Dedicated Online Platform,Online,fallback_source_name
SNCF Réseau Online,Online Dedicated,SNCF Réseau Online,Online,exact
Kanban University,Online Dedicated,Kanban University,Online,exact
Lithespeed,Online Dedicated,Lithespeed,Online,fallback_source_name
PICARD,Online Dedicated,PICARD,Online,fallback_source_name
ATR Aircraft Cloud,Online Dedicated,ATR Aircraft Cloud,Online,fallback_source_name
Siemens Healthineers Cloud,Online Dedicated,Siemens Healthineers Cloud,Online,fallback_source_name
Raskere,Online Dedicated,Raskere,Online,fallback_source_name
Nictiz,Online Dedicated,Nictiz,Online,exact
KPConsulting,Online Dedicated,KPConsulting,Online,exact
Arquitectura Claridad Y Conocimiento,Online Dedicated,Arquitectura Claridad Y Conocimiento,Online,fallback_source_name
Marks & Spencer UK,Online Dedicated,Marks & Spencer UK,Online,fallback_source_name
ACL,Online Dedicated,ACL,Online,exact
Suez (POC),Online Dedicated,Suez (POC),Online,fallback_source_name
EvidenS de Beauté,Online Dedicated,EvidenS de Beauté,Online,exact
Vaupell,Online Dedicated,Vaupell,Online,exact
Eaton,Online Dedicated,EATON,Online,exact
Boeing,Online Dedicated,Boeing,Online,fallback_source_name
Airbus Operation SAS - Cloud POC,Online Dedicated,Airbus Operation SAS - Cloud POC,Online,fallback_source_name
Corteva Agriscience,Online Dedicated,Corteva Agriscience,Online,exact
STEF,Online Dedicated,STEF,Online,exact
Vantive,Online Dedicated,Vantive,Online,exact
Showcase website,Online Dedicated,Showcase website,Online,fallback_source_name
SOITEC,Online Dedicated,SOITEC,Online,exact
Campbell's Soup,Online Dedicated,Campbell's Soup,Online,fallback_source_name
Hartmann Czech Republic,Online Dedicated,Hartmann Czech Republic,Online,fallback_source_name
Amicus Therapeutics,Online Dedicated,Amicus Therapeutics,Online,exact
Getinge,Online Dedicated,Getinge,Online,exact
Merck-MSD USA,Online Dedicated,Merck-MSD USA,Online,fallback_source_name
DHL Express,Online Dedicated,DHL Express,Online,fallback_source_name
Thales Test instance Cloud,Online Dedicated,Thales Test instance Cloud,Online,fallback_source_name
I-Interim Rijk,Online Dedicated,I-Interim Rijk,Online,exact
ING Real Estate,Online Dedicated,ING Real Estate,Online,fallback_source_name
Achmea,Online Dedicated,Achmea,Online,exact
Sargento,Online Dedicated,Sargento,Online,fallback_source_name
STMicroelectronics,Online Dedicated,STMicroElectronics,Online,exact
Gepsa,Online Dedicated,Gepsa,Online,exact
PRYSMIAN,Online Dedicated,Prysmian,Online,exact
YKK Germany,Online Dedicated,YKK Germany,Online,exact
KAEFER GROUP,Online Dedicated,KAEFER GROUP,Online,fallback_source_name
Sterigenics,Online Dedicated,Sterigenics,Online,exact
Silent Aire,Online Dedicated,Silent Aire,Online,exact
Vibracoustic,Online Dedicated,Vibracoustic,Online,exact
Rolls Royce UK,Online Dedicated,Rolls Royce UK,Online,fallback_source_name
Rolex POC,Online Dedicated,Rolex POC,Online,fallback_source_name
TBMConsulting - Dedicated,Online Dedicated,TBMConsulting - Dedicated,Online,fallback_source_name
Airbus Opérations 436,Online Dedicated,Airbus Opérations 436,Online,fallback_source_name
Airbus Opérations 45,Online Dedicated,Airbus Opérations 45,Online,fallback_source_name
APEM POC,Online Dedicated,APEM POC,Online,fallback_source_name
Alvotech,Online Dedicated,Alvotech,Online,fallback_source_name
CA des Savoie Cloud,Online Dedicated,CA des Savoie Cloud,Online,exact
Thermo Fisher,Online Dedicated,Thermo Fisher,Online,exact
Deloitte,Online Dedicated,Deloitte,Online,fallback_source_name
Viasat USA,Online Dedicated,Viasat USA,Online,exact
Donaldson POC,Online Dedicated,Donaldson POC,Online,exact
InvestCloud,Online Dedicated,InvestCloud,Online,fallback_source_name
Eli Lilly RFI Demo,Online Dedicated,Eli Lilly RFI Demo,Online,fallback_source_name
STRADAL,Online Dedicated,STRADAL,Online,exact
ULTRAGENYX,Online Dedicated,Ultragenyx,Online,exact
Astrea Pharma,Online Dedicated,Astrea Pharma,Online,exact
Nictiz NG,Online Dedicated,Nictiz NG,Online,fallback_source_name
BLEU CLOUD,Online Dedicated,BLEU CLOUD,Online,fallback_source_name
dsm Firmenich,Online Dedicated,DSM Firmenich,Online,exact
Syngenta,Online Dedicated,Syngenta,Online,exact
IBConsultants-Dedicated,Online Dedicated,IBConsultants-Dedicated,Online,fallback_source_name
E-T-A,Online Dedicated,E-T-A,Online,exact
PC Brussels SA,Online Dedicated,PC Brussels SA,Online,fallback_source_name
XPO Logistics,Online Dedicated,XPO Logistics,Online,exact
Bio-Rad,Online Dedicated,Bio-Rad,Online,fallback_source_name
Gemeente Den Haag,Online Dedicated,Gemeente Den Haag,Online,exact
Adragos Pharma,Online Dedicated,Adragos Pharma,Online,exact
Cylad - demo,,Cylad - demo,TO BE DEFINED,fallback_source_name
